0.02,0.74,9.96,-0.63,-0.05,-0.37,-139,134,-95
0.02,0.74,9.96,-0.49,-0.05,-0.31,-131,139,-90
0.04,0.73,9.94,-0.49,-0.18,-0.35,-130,142,-94
0.04,0.74,9.95,-0.50,0.05,-0.43,-134,146,-90
0.03,0.72,9.97,-0.53,0.02,-0.28,-135,140,-94
0.00,0.70,9.95,-0.59,-0.15,-0.28,-130,140,-89
0.01,0.74,9.97,-0.63,-0.01,-0.32,-125,138,-89
0.02,0.72,9.94,-0.44,0.02,-0.40,-124,136,-88
0.04,0.73,9.96,-0.56,-0.11,-0.31,-131,136,-100
-0.01,0.75,9.93,-0.71,-0.04,-0.43,-128,155,-92
0.03,0.73,9.95,-0.45,-0.06,-0.41,-133,135,-92
0.05,0.73,9.95,-0.52,-0.05,-0.33,-138,142,-79
0.05,0.72,9.97,-0.60,-0.01,-0.26,-124,146,-88
0.03,0.74,9.93,-0.42,-0.23,-0.37,-124,131,-90
0.04,0.72,9.94,-0.60,0.07,-0.48,-134,141,-83
0.03,0.72,9.95,-0.62,-0.08,-0.29,-125,135,-92
0.03,0.70,9.96,-0.50,-0.01,-0.35,-123,138,-94
0.03,0.71,9.97,-0.50,-0.15,-0.31,-140,147,-99
0.01,0.72,9.94,-0.72,0.05,-0.40,-129,146,-90
0.02,0.74,9.97,-0.63,0.00,-0.37,-135,138,-99
0.02,0.71,9.93,-0.63,-0.11,-0.31,-130,140,-89
-0.00,0.73,9.96,-0.60,-0.06,-0.31,-130,135,-92
-0.00,0.72,9.96,-0.47,-0.02,-0.44,-134,141,-88
0.01,0.74,9.95,-0.47,-0.08,-0.39,-135,135,-92
0.02,0.77,9.95,-0.60,0.06,-0.27,-129,139,-95
0.04,0.74,9.94,-0.54,0.11,-0.44,-134,131,-88
0.05,0.71,9.97,-0.44,-0.13,-0.27,-123,142,-96
0.03,0.75,9.95,-0.63,0.14,-0.37,-127,139,-85
0.00,0.71,9.95,-0.63,0.00,-0.45,-128,147,-96
0.05,0.74,9.97,-0.58,0.02,-0.26,-128,140,-99
0.02,0.74,9.96,-0.59,0.06,-0.40,-125,138,-99
0.02,0.73,9.96,-0.60,-0.02,-0.42,-121,135,-92
0.00,0.74,9.95,-0.56,-0.13,-0.21,-125,135,-84
0.03,0.72,9.95,-0.62,-0.02,-0.44,-128,138,-92
0.01,0.75,9.94,-0.46,-0.06,-0.41,-139,136,-93
0.01,0.72,9.96,-0.61,0.00,-0.40,-123,145,-92
0.04,0.71,9.96,-0.46,0.02,-0.45,-130,145,-101
0.04,0.74,9.95,-0.57,-0.18,-0.44,-124,141,-88
0.03,0.72,9.97,-0.56,-0.02,-0.27,-115,144,-90
0.03,0.70,9.96,-0.47,-0.02,-0.40,-127,139,-100
-0.00,0.78,9.95,-0.65,-0.05,-0.31,-121,140,-89
0.01,0.71,9.94,-0.68,-0.06,-0.30,-130,140,-92
0.06,0.73,9.96,-0.61,0.08,-0.31,-133,142,-92
-0.02,0.69,9.96,-0.53,-0.04,-0.39,-136,146,-98
0.03,0.72,9.97,-0.55,-0.01,-0.31,-136,141,-85
0.03,0.72,9.94,-0.55,0.00,-0.42,-141,146,-93
0.02,0.71,9.97,-0.47,-0.02,-0.40,-123,135,-92
0.01,0.72,9.97,-0.44,0.03,-0.26,-129,144,-93
0.05,0.72,9.95,-0.52,0.00,-0.27,-131,144,-95
0.06,0.72,9.95,-0.62,0.16,-0.56,-129,136,-90
0.01,0.70,9.96,-0.67,-0.08,-0.40,-133,145,-84
0.03,0.75,9.96,-0.49,-0.06,-0.31,-129,146,-93
0.02,0.71,9.96,-0.58,-0.02,-0.37,-125,142,-94
0.03,0.68,9.95,-0.56,0.04,-0.37,-127,148,-93
0.06,0.74,9.93,-0.47,0.03,-0.44,-131,144,-93
0.03,0.75,9.94,-0.43,0.08,-0.33,-133,142,-99
0.04,0.69,9.94,-0.64,-0.02,-0.31,-135,145,-89
0.01,0.72,9.96,-0.57,-0.03,-0.40,-123,140,-89
0.00,0.70,9.96,-0.37,-0.02,-0.30,-122,136,-95
0.01,0.71,9.95,-0.56,-0.06,-0.35,-125,145,-94
0.06,0.74,9.97,-0.60,0.06,-0.45,-138,147,-94
-0.00,0.74,9.96,-0.40,-0.08,-0.31,-134,134,-93
0.05,0.72,9.94,-0.61,-0.02,-0.37,-131,146,-93
-0.00,0.74,9.98,-0.55,-0.05,-0.44,-122,134,-78
0.06,0.72,9.95,-0.62,0.00,-0.49,-131,141,-98
0.04,0.74,9.95,-0.69,0.06,-0.37,-134,136,-100
0.03,0.71,9.95,-0.56,0.08,-0.29,-125,140,-99
0.06,0.71,9.94,-0.46,-0.02,-0.43,-122,144,-90
0.02,0.73,9.97,-0.58,0.16,-0.32,-134,146,-95
0.02,0.72,9.93,-0.48,0.10,-0.37,-128,142,-94
0.01,0.72,9.95,-0.53,-0.12,-0.44,-133,140,-82
-0.01,0.73,9.93,-0.50,0.09,-0.35,-122,144,-85
0.03,0.73,9.96,-0.69,-0.13,-0.42,-130,142,-92
